dataset,model,feature,value,abs_value,interpretation,source
UCI enrolment,Logistic Regression,course_9119,1.6490267483087349,1.6490267483087349,associated with higher risk,logistic_coefficient
UCI enrolment,Logistic Regression,tuition_fees_up_to_date_0,1.5496492142788898,1.5496492142788898,associated with higher risk,logistic_coefficient
UCI enrolment,Logistic Regression,mother_s_occupation_0,1.4651592529450708,1.4651592529450708,associated with higher risk,logistic_coefficient
UCI enrolment,Logistic Regression,tuition_fees_up_to_date_1,-1.4603084745330186,1.4603084745330186,associated with lower risk,logistic_coefficient
UCI enrolment,Logistic Regression,mother_s_occupation_191,-1.3979258208626542,1.3979258208626542,associated with lower risk,logistic_coefficient
UCI enrolment,Logistic Regression,application_mode_7,1.2176682440860949,1.2176682440860949,associated with higher risk,logistic_coefficient
UCI enrolment,Logistic Regression,course_9853,1.1549109811370528,1.1549109811370528,associated with higher risk,logistic_coefficient
UCI enrolment,Logistic Regression,application_mode_15,-1.0835457476205372,1.0835457476205372,associated with lower risk,logistic_coefficient
UCI enrolment,Logistic Regression,nationality_26,-1.038199200630502,1.038199200630502,associated with lower risk,logistic_coefficient
UCI enrolment,Logistic Regression,application_mode_39,1.033508702450245,1.033508702450245,associated with higher risk,logistic_coefficient
UCI enrolment,Logistic Regression,nationality_109,1.0059483546133088,1.0059483546133088,associated with higher risk,logistic_coefficient
UCI enrolment,Logistic Regression,course_9500,-0.9932657435704741,0.9932657435704741,associated with lower risk,logistic_coefficient
UCI enrolment,Neural Network,tuition_fees_up_to_date,0.12630482626693967,0.12630482626693967,mean AP decrease when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,course,0.04239642135926741,0.04239642135926741,mean AP decrease when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,scholarship_holder,0.022142953697830633,0.022142953697830633,mean AP decrease when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,application_mode,0.01291747594034448,0.01291747594034448,mean AP decrease when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,mother_s_occupation,-0.012630035457049812,0.012630035457049812,mean AP decrease when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,debtor,0.012089031386359167,0.012089031386359167,mean AP decrease when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,previous_qualification,0.011336244317650512,0.011336244317650512,mean AP decrease when the feature is shuffled,permutation_importance
